"index","value"
1973 Jan,55
1973 Feb,60
1973 Mar,68
1973 Apr,63
1973 May,65
1973 Jun,61
1973 Jul,54
1973 Aug,52
1973 Sep,46
1973 Oct,42
1973 Nov,37
1973 Dec,30
1974 Jan,37
1974 Feb,44
1974 Mar,55
1974 Apr,53
1974 May,58
1974 Jun,50
1974 Jul,48
1974 Aug,45
1974 Sep,41
1974 Oct,34
1974 Nov,30
1974 Dec,24
1975 Jan,29
1975 Feb,34
1975 Mar,44
1975 Apr,54
1975 May,57
1975 Jun,51
1975 Jul,51
1975 Aug,53
1975 Sep,46
1975 Oct,46
1975 Nov,46
1975 Dec,39
1976 Jan,41
1976 Feb,53
1976 Mar,55
1976 Apr,62
1976 May,55
1976 Jun,56
1976 Jul,57
1976 Aug,59
1976 Sep,58
1976 Oct,55
1976 Nov,49
1976 Dec,47
1977 Jan,57
1977 Feb,68
1977 Mar,84
1977 Apr,81
1977 May,78
1977 Jun,74
1977 Jul,64
1977 Aug,74
1977 Sep,71
1977 Oct,63
1977 Nov,55
1977 Dec,51
1978 Jan,57
1978 Feb,63
1978 Mar,75
1978 Apr,85
1978 May,80
1978 Jun,77
1978 Jul,68
1978 Aug,72
1978 Sep,68
1978 Oct,70
1978 Nov,53
1978 Dec,50
1979 Jan,53
1979 Feb,58
1979 Mar,73
1979 Apr,72
1979 May,68
1979 Jun,63
1979 Jul,64
1979 Aug,68
1979 Sep,60
1979 Oct,54
1979 Nov,41
1979 Dec,35
1980 Jan,43
1980 Feb,44
1980 Mar,44
1980 Apr,36
1980 May,44
1980 Jun,50
1980 Jul,55
1980 Aug,61
1980 Sep,50
1980 Oct,46
1980 Nov,39
1980 Dec,33
1981 Jan,37
1981 Feb,40
1981 Mar,49
1981 Apr,44
1981 May,45
1981 Jun,38
1981 Jul,36
1981 Aug,34
1981 Sep,28
1981 Oct,29
1981 Nov,27
1981 Dec,29
1982 Jan,28
1982 Feb,29
1982 Mar,36
1982 Apr,32
1982 May,36
1982 Jun,34
1982 Jul,31
1982 Aug,36
1982 Sep,39
1982 Oct,40
1982 Nov,39
1982 Dec,33
1983 Jan,44
1983 Feb,46
1983 Mar,57
1983 Apr,59
1983 May,64
1983 Jun,59
1983 Jul,51
1983 Aug,50
1983 Sep,48
1983 Oct,51
1983 Nov,45
1983 Dec,48
1984 Jan,52
1984 Feb,58
1984 Mar,63
1984 Apr,61
1984 May,59
1984 Jun,58
1984 Jul,52
1984 Aug,48
1984 Sep,53
1984 Oct,55
1984 Nov,42
1984 Dec,38
1985 Jan,48
1985 Feb,55
1985 Mar,67
1985 Apr,60
1985 May,65
1985 Jun,65
1985 Jul,63
1985 Aug,61
1985 Sep,54
1985 Oct,52
1985 Nov,51
1985 Dec,47
1986 Jan,55
1986 Feb,59
1986 Mar,89
1986 Apr,84
1986 May,75
1986 Jun,66
1986 Jul,57
1986 Aug,52
1986 Sep,60
1986 Oct,54
1986 Nov,48
1986 Dec,49
1987 Jan,53
1987 Feb,59
1987 Mar,73
1987 Apr,72
1987 May,62
1987 Jun,58
1987 Jul,55
1987 Aug,56
1987 Sep,52
1987 Oct,52
1987 Nov,43
1987 Dec,37
1988 Jan,43
1988 Feb,55
1988 Mar,68
1988 Apr,68
1988 May,64
1988 Jun,65
1988 Jul,57
1988 Aug,59
1988 Sep,54
1988 Oct,57
1988 Nov,43
1988 Dec,42
1989 Jan,52
1989 Feb,51
1989 Mar,58
1989 Apr,60
1989 May,61
1989 Jun,58
1989 Jul,62
1989 Aug,61
1989 Sep,49
1989 Oct,51
1989 Nov,47
1989 Dec,40
1990 Jan,45
1990 Feb,50
1990 Mar,58
1990 Apr,52
1990 May,50
1990 Jun,50
1990 Jul,46
1990 Aug,46
1990 Sep,38
1990 Oct,37
1990 Nov,34
1990 Dec,29
1991 Jan,30
1991 Feb,40
1991 Mar,46
1991 Apr,46
1991 May,47
1991 Jun,47
1991 Jul,43
1991 Aug,46
1991 Sep,37
1991 Oct,41
1991 Nov,39
1991 Dec,36
1992 Jan,48
1992 Feb,55
1992 Mar,56
1992 Apr,53
1992 May,52
1992 Jun,53
1992 Jul,52
1992 Aug,56
1992 Sep,51
1992 Oct,48
1992 Nov,42
1992 Dec,42
1993 Jan,44
1993 Feb,50
1993 Mar,60
1993 Apr,66
1993 May,58
1993 Jun,59
1993 Jul,55
1993 Aug,57
1993 Sep,57
1993 Oct,56
1993 Nov,53
1993 Dec,51
1994 Jan,45
1994 Feb,58
1994 Mar,74
1994 Apr,65
1994 May,65
1994 Jun,55
1994 Jul,52
1994 Aug,59
1994 Sep,54
1994 Oct,57
1994 Nov,45
1994 Dec,40
1995 Jan,47
1995 Feb,47
1995 Mar,60
1995 Apr,58
1995 May,63
1995 Jun,64
1995 Jul,64
1995 Aug,63
1995 Sep,55
1995 Oct,54
1995 Nov,44
